,q1AgeBeginCoding,q2Age,q3Gender,q4Education,q5DegreeFocus,q6LearnCodeUni,q6LearnCodeSelfTaught,q6LearnCodeAccelTrain,q8JobLevel,q9CurrentRole,q10Industry,q12JobCritPrefTechStack,q12JobCritCompMission,q12JobCritCompCulture,q12JobCritWorkLifeBal,q12JobCritCompensation,q12JobCritProximity,q12JobCritPerks,q12JobCritSmartPeopleTeam,q12JobCritImpactwithProduct,q12JobCritInterestProblems,q12JobCritFundingandValuation,q12JobCritStability,q12JobCritProfGrowth
3094,3,3,0,5,1,0,1,0,4,6,6,0,0,1,0,1,1,0,0,0,0,0,0,0
3097,3,3,1,5,1,1,1,0,4,6,14,0,1,0,0,0,0,0,0,1,0,0,0,1
3108,2,5,0,6,2,1,1,0,5,9,2,1,0,0,0,1,0,0,0,1,0,0,0,0
3112,3,5,0,5,1,1,1,0,5,4,10,1,0,0,1,0,0,0,1,0,0,0,0,0
3113,4,4,0,5,2,1,0,0,4,4,9,0,0,0,1,0,0,0,1,0,0,0,0,1
3114,4,4,0,7,2,1,1,0,7,11,14,0,0,0,1,0,1,0,0,0,1,0,0,0
3115,4,4,0,7,2,0,1,0,5,6,8,0,0,0,1,0,0,0,0,0,1,0,0,1
3116,4,4,0,2,1,1,1,0,5,3,5,1,0,0,1,1,0,0,0,0,1,0,1,1
3119,3,4,0,7,1,1,0,0,5,3,14,0,0,1,0,1,1,0,0,1,1,0,0,1
3120,2,3,0,7,1,1,1,0,4,9,14,0,0,0,0,1,0,1,0,0,0,0,0,1
3122,3,4,0,5,1,1,1,0,5,11,14,0,0,0,0,1,1,0,1,0,1,0,0,1
3124,3,4,0,2,2,0,1,0,5,2,10,1,0,1,0,1,0,0,0,0,0,0,0,1
3125,4,4,0,5,1,1,0,0,4,7,0,0,0,0,1,0,0,0,0,0,1,0,0,1
3126,3,3,0,5,2,1,1,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
3129,3,3,0,5,2,1,1,0,2,17,14,0,1,1,0,1,0,0,0,0,0,0,0,0
3131,3,4,0,5,1,1,1,0,5,2,2,1,0,1,1,1,1,0,1,0,0,0,0,1
3132,4,4,0,5,1,1,1,0,4,1,14,1,0,0,1,0,0,0,0,0,0,0,0,1
3133,3,4,0,7,2,1,0,0,4,9,12,1,0,0,0,0,0,0,0,1,1,0,0,0
3135,3,3,0,6,1,1,0,0,4,4,14,0,0,0,1,0,0,0,0,0,1,0,0,1
3137,2,4,0,5,1,1,1,0,5,4,8,0,0,0,0,0,0,0,1,0,1,0,0,1
3138,2,4,0,5,1,1,0,0,5,4,7,0,0,0,1,0,0,0,0,0,1,0,0,1
3140,3,4,0,7,1,0,1,0,5,3,4,0,0,0,1,1,0,0,1,0,0,0,0,0
3141,3,3,0,6,1,1,1,0,5,4,0,0,1,1,1,0,1,0,1,0,1,0,0,1
3145,3,4,0,5,1,1,1,0,5,9,10,0,0,1,1,1,0,0,1,1,1,0,0,0
3148,2,5,0,5,1,1,1,0,6,9,14,0,0,1,1,0,0,0,0,0,1,0,0,0
3149,2,4,0,4,2,1,1,1,5,4,19,1,0,1,1,0,0,0,1,0,1,0,0,1
3150,2,4,0,5,1,1,1,0,5,4,4,0,0,0,1,1,0,0,0,1,0,0,0,0
3155,2,3,0,5,1,1,1,0,2,9,1,0,0,0,1,1,0,0,0,0,0,0,0,1
3158,2,5,0,5,1,1,1,0,10,4,14,0,0,0,1,0,0,0,1,0,1,0,0,0
3159,2,4,1,5,1,1,1,0,5,3,14,1,0,0,0,0,1,0,0,0,0,0,0,1
3163,2,4,0,7,1,0,1,0,5,3,1,0,0,0,0,1,1,0,0,0,1,0,0,0
3165,3,3,0,5,1,1,1,0,4,3,12,0,1,1,1,0,0,0,0,0,0,0,0,0
3166,1,4,0,5,1,0,1,0,4,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0
3168,3,3,0,5,1,1,0,0,2,9,14,1,0,1,0,0,0,0,0,0,0,0,0,1
3169,3,4,0,6,1,0,1,0,7,4,5,0,0,0,1,0,0,0,0,1,0,0,0,1
3171,3,4,1,6,1,1,0,0,4,9,14,0,0,0,0,1,0,0,1,1,0,0,0,0
3175,3,4,1,6,1,1,0,0,5,7,8,0,0,0,1,1,0,0,0,1,0,0,0,0
3177,2,3,0,5,1,1,1,0,4,9,14,0,1,0,1,0,0,0,0,1,0,0,0,1
3182,1,5,0,5,1,1,1,0,8,4,10,0,1,1,1,0,0,0,0,0,0,0,0,0
3185,2,2,0,2,1,0,1,0,5,4,14,0,0,1,1,0,0,0,1,0,0,0,0,0
3186,2,3,0,5,1,0,1,0,5,4,8,1,0,1,0,0,0,0,1,0,0,0,0,0
3189,4,3,0,5,2,0,1,0,4,2,14,0,0,0,0,0,0,0,0,1,1,0,0,1
3190,2,4,0,5,1,1,1,0,5,4,14,0,0,0,1,1,0,0,1,0,0,0,0,0
3191,2,4,0,5,2,1,1,0,5,3,2,0,1,1,0,0,0,0,1,0,1,1,1,1
3193,3,4,0,6,1,1,0,0,5,9,14,1,0,1,1,1,1,1,1,1,1,0,1,1
3196,3,4,0,5,1,1,1,1,5,4,14,0,0,0,1,0,1,0,1,0,0,0,0,0
3200,2,3,0,7,1,1,1,1,6,7,14,0,0,1,0,0,0,0,0,0,0,1,1,1
3201,2,5,0,6,0,1,1,0,5,11,10,0,0,1,0,1,0,0,0,0,0,0,0,1
3202,3,4,0,5,2,1,1,0,4,6,4,0,0,0,0,1,0,0,0,0,1,0,0,1
3203,3,4,0,5,1,1,1,0,5,9,2,0,0,1,1,0,0,0,0,0,1,0,0,0
3204,2,4,0,7,1,1,0,0,6,2,10,0,0,0,0,1,0,0,1,0,1,0,0,0
3207,3,3,0,4,1,0,1,1,4,4,12,0,0,0,0,0,0,0,1,0,1,0,0,1
3209,2,5,0,3,1,0,1,0,5,9,7,0,0,1,0,0,0,0,0,0,0,0,1,1
3210,2,3,0,2,1,1,1,0,4,3,14,1,0,0,1,0,0,0,0,0,1,0,0,0
3211,2,3,1,7,1,1,1,0,4,9,16,0,0,0,0,1,0,0,1,0,0,0,0,1
3216,2,3,0,5,1,1,1,0,4,9,14,0,0,0,0,0,0,0,0,0,1,0,1,1
3225,3,4,0,5,2,1,1,0,10,4,14,0,0,0,1,1,0,0,0,0,0,0,0,1
3234,3,3,0,5,1,0,1,0,2,14,14,0,0,1,1,0,0,0,0,1,0,0,0,0
3239,3,3,0,2,1,0,1,0,4,2,10,0,0,1,1,0,0,0,1,0,0,0,0,0
3240,3,7,0,5,1,0,1,0,5,2,14,0,0,0,1,0,0,0,1,0,1,0,0,0
3246,4,4,0,6,1,1,1,0,5,9,8,0,0,0,1,1,0,0,0,0,0,0,0,1
3247,2,3,0,5,2,0,1,0,2,9,14,0,1,1,1,0,0,0,0,0,1,0,0,1
3250,3,3,1,7,1,1,1,0,4,3,4,0,1,1,1,0,1,1,1,0,1,1,0,1
3251,3,3,0,5,1,0,1,0,4,9,14,0,0,0,1,0,0,0,0,0,1,0,0,1
3255,3,4,0,5,1,1,0,0,5,3,5,0,0,0,1,1,0,0,0,0,0,0,0,1
3257,3,3,0,7,1,0,1,0,4,9,14,1,0,1,0,0,0,0,1,1,1,0,1,1
3260,3,5,0,5,1,0,1,0,5,9,3,0,0,0,0,0,0,0,1,0,1,0,0,1
3263,3,3,0,6,1,1,1,0,5,17,5,0,0,0,0,1,0,0,0,0,1,0,0,1
3266,3,4,0,7,1,1,1,0,4,9,14,1,0,0,1,1,0,0,1,1,1,0,0,1
3267,3,4,0,7,1,1,1,0,5,9,14,1,0,0,1,0,0,0,1,0,1,0,0,0
3271,3,4,0,7,1,1,1,0,5,6,5,0,0,0,0,1,0,0,1,0,1,0,0,0
3273,3,4,0,7,2,1,1,0,5,6,14,0,0,0,0,0,0,0,1,0,1,0,0,1
3274,3,4,0,5,1,1,1,0,5,7,10,1,0,0,0,1,1,0,0,0,0,0,0,0
3280,3,3,0,5,1,1,0,0,4,9,5,0,0,1,1,1,0,0,0,0,0,0,0,0
3284,3,4,0,7,1,1,0,0,2,4,12,0,0,0,0,0,0,0,1,1,1,0,0,0
3285,3,5,0,7,1,1,1,0,6,9,8,0,0,0,1,1,0,0,1,1,1,0,0,1
3286,5,4,0,5,1,1,1,0,4,9,5,0,0,1,1,0,0,0,0,0,0,0,0,1
3287,3,4,0,5,1,0,0,1,5,9,14,0,1,1,1,1,1,0,1,1,1,0,0,1
3288,4,4,0,7,2,0,1,0,5,2,14,0,0,1,0,0,0,0,1,0,1,0,0,0
3291,2,4,0,5,2,1,1,0,5,3,6,0,0,1,1,0,0,0,0,0,0,0,0,1
3293,3,4,0,5,1,0,1,0,5,4,0,1,0,0,1,1,1,1,1,1,1,0,0,1
3294,3,3,0,5,1,1,1,0,4,4,14,0,0,1,1,0,0,1,1,1,1,0,0,1
3295,3,5,0,7,2,0,1,0,6,9,14,0,0,0,0,1,0,0,0,0,1,0,0,1
3296,3,4,1,5,1,1,0,0,5,3,9,0,0,1,1,0,0,0,0,0,1,0,0,0
3298,3,3,1,5,1,1,0,0,5,4,2,0,0,0,1,0,0,0,1,0,0,0,0,1
3300,3,4,0,5,1,1,1,0,5,9,3,1,1,1,1,0,0,0,0,1,1,1,0,1
3301,3,4,0,1,2,1,1,1,5,4,10,1,0,1,1,0,0,0,1,0,1,0,0,1
3302,5,4,0,7,2,1,1,0,5,9,14,0,0,0,1,1,0,0,0,0,0,0,0,1
3303,3,4,0,7,2,1,1,0,5,3,14,0,0,0,1,1,0,0,0,0,0,0,0,1
3304,3,3,0,5,1,1,1,0,4,7,14,0,0,1,1,0,0,0,1,0,0,0,0,0
3305,4,4,1,5,0,1,0,1,4,1,4,0,0,1,0,1,0,0,0,0,0,0,0,1
3307,3,4,0,5,1,1,0,0,5,11,14,1,1,0,0,1,0,0,0,0,0,0,0,0
3309,3,4,0,6,1,1,0,0,5,4,14,1,0,0,0,1,1,0,1,1,0,0,0,0
3311,2,4,0,3,1,1,1,0,10,4,5,0,0,1,0,1,0,0,1,0,0,0,0,0
3315,3,4,0,7,1,0,1,0,5,7,14,0,0,0,1,1,0,0,0,0,0,0,0,1
3318,4,4,0,5,0,1,1,0,5,4,5,1,0,1,1,1,1,0,1,1,1,0,0,1
3320,3,3,0,5,1,1,0,0,4,9,14,1,0,1,1,0,0,0,1,0,1,0,0,1
3321,4,4,0,7,2,0,1,0,4,3,10,0,0,1,0,0,0,0,1,0,0,0,0,1
3322,7,5,1,5,0,0,1,0,4,1,12,0,0,0,0,0,0,0,1,0,1,0,0,1
3323,2,4,0,7,1,1,1,0,5,9,1,0,0,0,1,1,0,0,0,0,0,0,0,1
3324,3,4,0,7,2,1,1,0,2,9,14,0,0,0,0,0,0,0,1,1,1,0,0,0
3325,3,4,0,7,1,1,1,0,6,9,3,0,0,0,0,1,0,0,0,0,1,0,0,1
3326,2,5,0,6,1,1,1,0,5,2,5,0,0,0,1,1,0,0,0,1,0,0,0,0
3327,3,4,0,5,1,1,0,0,4,9,14,0,0,0,1,1,0,0,0,0,0,0,0,1
3328,1,4,0,5,2,0,1,0,4,3,14,1,1,1,0,0,0,0,0,0,0,0,0,0
3329,3,5,0,5,2,0,1,0,5,2,14,1,0,1,0,0,0,0,0,0,1,0,0,0
3332,2,4,0,6,1,1,1,0,5,3,12,0,0,1,0,0,1,0,1,0,0,0,0,0
3334,5,4,0,7,2,0,1,0,4,6,6,0,0,0,1,0,0,0,0,0,1,0,0,1
3335,2,5,0,7,1,1,1,0,7,4,5,0,0,0,1,1,0,0,1,0,1,0,0,0
3336,3,3,0,5,1,1,1,0,4,3,0,0,0,0,1,1,0,0,0,0,1,0,0,0
3337,2,5,0,3,1,0,1,0,5,3,0,0,0,0,1,1,0,0,0,0,1,0,0,0
3338,1,5,1,7,1,1,1,1,6,11,14,0,0,1,0,1,0,0,0,0,1,0,0,0
3340,3,4,0,5,1,1,1,0,5,4,6,1,1,1,1,1,1,0,1,0,1,1,0,1
3342,3,5,1,4,1,0,1,1,4,12,10,0,0,1,1,1,0,0,0,0,0,0,0,0
3343,2,3,0,5,1,1,1,0,5,10,14,1,0,0,0,1,0,0,1,0,0,0,0,0
3345,1,4,0,5,1,1,1,0,5,9,10,0,0,1,1,0,1,0,0,0,0,0,0,0
3349,3,4,1,5,1,1,0,0,5,4,14,0,0,1,0,1,0,0,0,0,0,0,0,1
3351,4,4,0,7,2,1,1,0,4,4,14,0,0,0,1,0,0,0,0,0,1,0,0,1
3354,3,4,0,5,1,1,0,0,5,4,14,1,0,0,1,0,0,0,0,0,0,0,0,1
3355,3,4,0,5,1,1,1,0,4,2,14,0,0,0,1,1,1,0,1,0,0,0,0,0
3356,4,3,1,5,1,0,1,0,5,1,12,0,0,0,0,1,0,0,1,0,0,0,0,1
3357,3,4,0,7,1,1,1,0,5,7,14,0,0,0,0,0,0,0,0,0,1,1,0,1
3358,2,4,1,7,2,0,1,0,4,6,5,0,1,1,1,0,0,0,1,0,1,0,0,0
3359,2,5,0,7,1,0,1,0,6,7,5,0,0,0,0,1,0,0,0,1,0,0,0,1
3360,1,3,0,5,1,0,1,0,5,14,2,0,0,0,0,0,0,0,1,1,1,0,0,0
3365,3,4,0,7,1,1,1,0,5,3,10,1,0,0,1,1,0,0,0,0,0,0,0,0
3366,2,4,0,7,2,0,1,0,9,9,14,0,0,0,0,0,0,0,1,0,1,0,0,1
3368,3,4,0,7,2,0,1,0,7,6,14,0,0,0,1,1,0,0,1,0,1,0,0,0
3369,4,4,0,5,1,1,1,0,8,4,14,0,1,0,0,0,0,0,1,1,1,0,0,0
3370,1,5,0,3,0,1,1,0,5,4,14,0,0,0,1,0,0,0,0,0,0,0,0,1
3371,4,4,0,5,1,1,1,0,5,3,6,1,0,0,0,1,1,0,1,0,0,0,0,1
3379,3,4,1,6,1,1,1,0,5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3381,2,7,0,7,1,1,0,0,7,11,14,0,0,0,0,1,0,0,1,0,1,0,0,0
3383,2,6,0,3,1,0,1,0,5,4,14,0,0,1,0,1,0,0,0,1,0,0,0,0
3384,2,5,0,5,2,0,1,0,5,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0
3393,4,5,0,5,2,0,1,0,5,9,5,0,0,0,1,0,0,0,1,0,0,0,1,0
3394,1,5,0,5,0,0,1,0,5,2,14,0,0,0,1,1,0,0,0,0,0,0,0,1
3395,4,4,0,5,2,0,1,0,4,9,2,0,1,0,1,0,0,0,0,0,0,0,0,1
3396,3,6,0,6,0,1,1,0,5,4,5,1,1,1,1,1,1,1,1,0,0,0,1,1
3398,3,4,0,5,1,1,1,0,4,3,14,0,0,0,1,0,0,0,0,1,0,0,0,1
3399,3,4,0,5,1,1,0,0,5,19,5,0,0,0,0,1,1,0,0,0,0,0,1,0
3400,3,4,0,7,2,1,1,0,5,2,14,1,1,1,1,1,0,0,1,1,1,0,1,1
3401,4,4,0,5,1,1,0,0,4,9,8,0,0,1,0,0,0,0,0,0,0,1,0,1
3402,2,6,0,7,1,1,1,0,5,9,14,0,0,0,0,0,1,0,1,0,1,0,0,0
3403,3,4,1,5,1,1,0,0,5,17,5,1,0,0,1,1,0,0,1,0,0,0,0,1
3404,3,4,0,5,1,1,1,0,6,11,14,0,0,1,1,1,0,0,0,0,0,0,0,0
3406,2,5,0,3,1,0,1,0,6,9,14,1,0,0,0,1,0,0,0,0,0,0,0,1
3407,2,4,0,5,1,0,1,0,5,9,14,0,0,0,1,1,0,0,1,0,0,0,0,0
3408,2,5,0,6,1,0,1,0,8,9,14,1,0,0,0,0,0,0,1,0,0,0,0,1
3409,3,4,1,5,1,0,1,0,7,19,14,0,0,1,0,1,0,0,0,0,0,0,0,1
3410,3,4,0,5,1,1,1,0,4,9,14,0,1,1,0,1,0,1,1,1,1,0,0,0
3412,4,4,0,7,1,1,1,0,5,9,14,1,1,1,1,1,1,1,1,1,1,1,1,1
3413,2,4,0,7,2,0,1,0,4,6,14,1,0,1,1,0,0,0,1,0,0,1,0,1
3414,3,3,0,5,1,1,1,0,4,4,14,1,0,0,1,0,0,0,0,0,0,0,0,1
3416,1,4,0,5,1,1,1,0,4,4,10,0,0,0,0,1,0,0,1,0,1,0,0,1
3417,3,6,0,2,1,1,0,0,5,3,19,1,0,0,0,0,0,0,1,0,1,0,0,0
3418,3,4,0,5,2,1,1,0,7,4,5,0,0,0,1,0,0,0,0,1,0,0,0,1
3419,4,6,0,3,1,1,0,0,5,3,16,0,0,1,1,1,1,0,1,1,1,0,0,1
3420,3,4,0,7,2,1,0,0,10,4,14,1,0,1,0,0,0,0,1,0,1,0,0,0
3421,2,6,0,7,1,1,1,0,5,9,8,1,1,1,1,1,1,1,1,1,1,0,0,1
3422,4,3,1,5,1,1,0,0,2,9,14,0,0,0,1,0,0,1,0,0,0,0,0,1
3424,2,4,0,7,1,0,1,0,9,11,8,0,0,0,1,1,1,0,0,0,0,0,0,0
3425,2,3,1,5,1,1,1,0,4,9,14,0,0,0,1,0,0,0,0,0,1,0,0,1
3426,3,5,0,7,1,1,0,0,6,9,3,1,0,0,0,1,0,0,0,0,1,0,0,0
3427,1,4,0,7,1,1,1,0,8,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0
3429,3,4,0,7,1,1,1,0,5,9,14,0,0,0,1,0,0,0,0,0,0,0,1,1
3431,3,4,0,7,1,1,1,0,5,9,14,0,0,0,1,0,0,0,0,0,0,0,1,1
3433,3,4,0,3,1,1,1,0,5,2,14,0,0,1,1,1,0,0,0,0,0,0,0,0
3434,4,5,1,5,1,1,1,0,5,4,14,0,0,0,1,0,1,0,1,0,0,0,0,0
3435,2,4,0,3,1,0,1,0,5,4,0,0,0,0,1,1,0,0,1,0,0,0,0,0
3436,1,5,0,7,2,0,1,0,4,9,8,0,0,0,0,0,0,0,1,0,1,0,0,1
3437,3,3,0,5,1,1,1,0,5,4,8,0,0,1,1,0,0,0,1,0,0,0,0,0
3439,4,4,0,6,0,0,1,0,4,9,0,1,0,1,1,0,0,0,0,0,0,0,0,0
3440,2,6,0,3,1,1,1,1,5,4,10,0,0,0,0,1,1,0,0,0,0,0,0,0
3441,1,4,0,7,1,1,1,0,2,4,14,1,1,1,1,1,0,0,1,1,1,0,0,1
3442,2,3,0,6,0,0,1,0,4,1,10,0,0,1,0,0,0,0,1,0,1,0,0,0
3445,2,4,0,6,1,1,1,0,5,7,15,0,0,1,0,1,0,0,0,0,1,0,0,0
3447,3,4,0,7,2,1,1,0,10,3,14,0,0,1,0,0,0,0,1,0,0,0,0,1
3448,3,5,0,1,1,1,1,0,4,4,2,0,0,0,1,1,0,0,0,0,0,0,0,1
3450,3,4,0,6,1,1,0,0,5,3,14,0,0,0,1,0,0,0,0,0,1,0,0,1
3451,4,4,0,5,1,1,0,0,4,4,14,0,0,0,1,0,0,0,0,1,1,0,0,0
3454,4,3,0,5,1,0,1,0,5,9,14,1,0,0,1,0,0,0,0,0,0,0,0,1
3455,4,4,0,5,2,0,1,0,5,2,14,1,0,1,1,1,0,0,0,1,1,0,1,1
3459,2,4,0,2,0,0,1,0,5,2,10,0,0,0,1,0,1,0,0,0,0,1,0,0
3460,3,6,0,6,1,1,1,0,5,9,13,0,0,0,1,1,0,0,1,0,0,0,0,0
3465,2,4,0,6,0,1,1,0,5,4,5,1,0,0,0,0,0,0,1,0,1,0,0,0
3466,3,4,0,5,1,1,1,0,5,9,7,1,0,0,0,1,0,0,0,0,0,0,0,0
3467,2,4,0,5,0,0,1,0,5,3,14,0,0,1,0,0,0,0,1,0,0,0,0,1
3475,3,5,0,5,2,1,1,0,4,9,0,0,0,1,0,0,1,0,0,0,1,0,0,0
3476,4,4,0,7,2,0,1,0,6,4,10,0,0,0,1,1,1,0,0,1,1,0,0,1
3477,3,4,0,5,1,0,1,0,5,4,2,0,0,1,0,0,0,0,0,0,1,0,0,1
3478,3,6,0,6,2,1,1,0,5,4,14,0,0,0,0,1,0,0,1,1,1,0,0,0
3479,3,4,0,5,1,1,0,0,5,9,5,0,0,1,0,1,0,0,0,0,1,0,0,0
3481,3,6,0,5,2,0,1,0,8,9,10,0,0,0,1,1,1,0,0,0,0,0,0,0
3482,3,4,0,7,2,1,0,0,4,1,8,0,0,1,1,1,1,1,1,1,1,0,0,1
3485,3,7,1,6,1,1,1,1,5,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1
3486,2,5,0,6,1,1,1,0,5,4,14,0,0,0,0,1,0,0,1,0,1,0,0,0
3487,3,4,0,5,2,0,0,1,5,4,14,0,1,0,1,0,0,0,0,0,0,0,0,1
3488,2,4,0,7,2,1,0,0,6,6,5,0,0,0,0,1,0,0,1,0,1,0,0,0
3489,4,4,0,5,2,1,1,0,5,4,14,0,1,1,1,1,1,0,1,0,1,0,0,1
3490,3,4,0,7,1,1,0,0,5,4,18,0,0,0,1,0,0,0,0,0,0,0,1,1
3491,2,5,0,5,2,1,1,0,5,9,14,0,0,0,1,0,0,0,1,0,0,0,0,1
3492,5,5,0,5,2,1,1,0,4,4,14,0,0,0,1,1,0,0,0,0,1,0,0,0
3493,3,5,0,7,1,1,1,0,5,4,8,1,1,1,1,1,0,1,1,1,1,0,1,1
3494,3,4,0,5,1,1,1,0,5,4,5,1,0,0,0,0,0,0,0,1,1,0,0,0
3495,4,4,1,5,2,1,1,1,5,4,2,0,0,1,1,1,0,0,0,0,1,0,0,1
3496,3,4,0,5,1,0,1,0,5,3,8,0,0,0,0,0,0,0,1,0,1,0,0,1
3497,2,4,0,5,1,1,1,0,5,4,5,0,0,0,0,1,0,0,1,0,0,0,0,1
3498,3,5,0,7,1,0,1,0,8,4,14,1,1,0,0,0,0,0,1,0,0,0,0,0
3499,4,4,1,7,2,1,1,0,4,9,0,0,0,1,1,1,1,0,0,0,0,0,0,1
3500,1,5,0,6,2,0,1,0,5,9,0,0,0,0,1,0,1,0,0,0,1,0,0,0
3501,3,6,0,5,1,1,1,0,5,8,13,0,0,0,0,1,1,0,0,0,1,0,0,0
3502,3,4,0,7,1,1,1,0,4,9,2,0,0,0,0,0,0,0,1,1,1,0,0,0
3503,3,5,0,7,1,1,1,0,5,9,1,0,0,0,1,1,0,0,0,0,0,0,0,1
3504,4,4,0,6,2,0,1,0,5,9,5,0,0,0,1,1,0,0,0,0,1,0,0,0
3505,2,4,0,7,1,1,1,0,5,9,5,1,0,0,0,1,0,0,0,0,0,0,0,1
3506,3,4,1,7,2,1,1,0,5,3,10,0,0,0,1,0,0,0,1,0,0,0,0,1
3507,3,5,0,7,1,1,0,0,5,4,12,1,0,0,1,0,0,0,0,0,0,0,0,1
3510,3,3,0,2,1,1,1,0,4,10,16,1,0,1,0,0,0,0,1,0,0,0,0,0
3513,3,5,0,5,1,1,1,0,7,3,5,0,0,1,0,0,0,0,0,0,1,0,0,1
3514,2,5,0,5,2,0,1,0,5,4,2,0,0,0,0,0,0,0,1,0,1,0,0,1
3516,2,5,0,5,2,1,0,0,5,4,4,0,0,0,1,1,0,0,0,0,0,0,0,1
3517,4,4,0,5,2,0,1,0,5,3,5,0,0,0,1,1,0,0,0,0,1,1,0,1
3518,3,4,0,5,1,1,1,0,5,9,0,0,0,1,1,1,1,1,1,1,1,0,0,1
3520,4,4,0,7,1,1,1,0,7,11,9,1,1,0,1,1,0,0,0,0,0,0,0,1
3521,4,4,0,5,2,0,1,0,5,9,14,0,0,1,1,1,1,1,0,0,0,0,0,1
3522,2,3,0,7,2,1,1,0,4,1,11,0,0,0,0,0,0,0,0,1,1,0,0,1
3523,3,4,0,5,1,1,1,0,5,4,14,1,0,0,1,1,0,0,0,0,0,0,0,0
3524,3,4,0,5,1,1,0,0,5,3,10,0,0,0,0,0,0,0,1,0,1,0,0,1
3525,4,4,0,5,2,0,1,0,5,4,14,0,0,0,0,1,0,0,1,0,0,0,0,1
3526,4,5,0,7,2,1,1,0,5,9,3,0,0,0,1,1,0,0,0,0,0,0,0,1
3527,3,4,0,5,2,1,0,0,5,4,2,1,0,0,1,1,0,0,0,0,0,0,0,0
3528,4,4,0,7,1,1,1,1,5,9,13,0,1,0,1,0,0,0,0,0,0,0,0,1
3529,2,4,0,5,2,1,1,0,7,11,5,0,0,1,0,0,0,0,1,1,1,0,0,1
3530,3,4,0,2,1,1,1,0,5,4,0,1,0,0,1,0,0,0,1,0,1,0,0,1
3531,3,3,1,5,2,1,1,1,4,1,14,1,0,0,1,0,0,0,0,0,0,0,0,1
3532,3,4,0,5,1,1,1,1,5,9,5,1,0,1,0,1,0,1,1,1,1,0,0,1
3535,4,4,0,5,1,1,0,0,5,9,0,0,0,1,1,0,0,1,0,0,0,0,0,0
3536,3,3,1,5,1,1,0,0,4,1,14,1,0,0,0,0,0,0,0,0,1,0,0,1
3537,4,4,1,5,2,1,1,0,5,9,2,0,0,0,1,1,0,0,0,0,1,0,0,1
3538,1,5,0,7,1,1,1,0,6,9,14,0,0,0,0,1,0,0,1,0,1,0,0,0
3539,2,5,0,7,2,0,1,0,8,13,2,1,0,1,0,0,0,0,1,0,0,0,0,0
3540,3,4,0,5,1,1,1,0,5,9,10,0,0,0,0,0,0,0,1,0,1,0,0,1
3541,1,4,0,7,2,1,1,0,6,6,14,0,1,0,0,0,0,0,0,0,1,0,0,1
3542,3,4,0,5,1,1,1,0,5,4,8,1,0,0,1,1,0,0,1,0,1,0,0,0
3544,3,4,0,5,1,1,1,0,7,4,14,1,0,0,1,1,0,0,0,0,0,0,0,0
3545,3,4,0,5,1,1,0,0,5,1,14,1,0,0,0,0,0,0,0,1,0,1,0,0
3546,3,4,0,7,1,0,1,0,5,9,8,0,0,1,1,0,0,0,1,0,0,0,0,0
3547,3,3,0,5,2,0,1,0,5,3,10,1,0,1,0,0,0,0,1,0,0,0,0,1
3548,3,4,0,5,1,1,1,1,4,10,10,0,0,0,1,0,0,0,1,0,1,0,0,1
3549,3,4,0,5,1,1,1,0,5,9,14,1,1,1,1,1,0,0,1,0,1,0,0,1
3550,4,4,0,7,1,1,0,0,4,4,14,0,0,0,1,1,0,1,0,1,1,1,0,1
3551,5,4,0,7,2,1,1,1,5,4,14,0,0,0,0,1,0,0,0,0,1,1,0,0
3553,3,4,0,6,1,1,0,0,5,4,13,1,0,0,0,1,0,0,0,0,0,0,0,1
3554,1,5,0,7,2,1,0,0,5,9,14,0,0,0,1,1,0,0,0,0,0,0,0,1
3555,4,4,0,6,1,1,1,0,5,9,0,0,0,0,0,1,0,0,1,0,0,0,0,1
3557,1,5,0,3,1,0,1,0,5,9,8,0,0,0,0,1,0,0,0,0,1,0,0,0
3558,3,4,0,5,2,1,1,0,4,10,10,0,0,0,1,1,0,0,0,0,1,0,0,0
3559,3,4,0,5,1,1,0,0,5,9,10,1,0,1,0,0,1,0,0,0,0,0,0,0
3560,4,4,0,5,1,1,1,0,5,9,14,1,0,1,1,1,0,0,1,0,0,0,0,1
3561,4,4,0,7,1,1,0,0,5,9,2,0,0,0,1,1,0,0,1,0,0,0,0,0
3562,4,5,0,5,2,1,1,0,5,9,14,0,0,0,1,0,0,0,0,0,1,0,0,1
3563,3,3,0,5,1,1,1,0,5,4,5,1,0,1,1,1,1,1,1,0,0,0,0,1
3564,2,6,0,7,1,1,1,0,6,9,14,0,0,0,1,1,0,0,0,0,1,0,0,0
3565,1,5,0,5,2,0,1,0,9,13,1,0,0,0,1,1,0,0,0,0,0,0,0,0
3567,2,4,0,7,2,1,0,0,5,3,14,0,0,0,0,1,0,0,1,0,1,0,0,0
3568,4,4,0,5,1,1,0,0,4,4,5,0,0,0,1,0,0,0,0,0,1,0,0,1
3569,3,4,0,5,2,1,0,0,4,9,14,0,1,0,1,0,0,0,0,0,0,0,0,1
3571,5,4,1,7,0,1,1,0,4,4,14,1,0,0,0,0,0,0,0,0,0,0,0,1
